id,department,total_logins
491,departamento de física y electrónica,2
492,departamento de física y electrónica,120
495,departamento de física y electrónica,11
496,departamento de física y electrónica,1
499,departamento de física y electrónica,31
502,departamento de física y electrónica,6
503,departamento de matemáticas y estadística,2
507,departamento de física y electrónica,28
510,departamento de física y electrónica,78
512,departamento de ingeniería industrial,28
514,departamento de matemáticas y estadística,7
515,departamento de ingeniería mecánica,17
519,departamento de ciencias administrativas,43
521,departamento de matemáticas y estadística,73
523,departamento de ingeniería industrial,45
524,departamento de ingeniería industrial,66
525,departamento de ingeniería industrial,38
526,departamento de ingeniería industrial,2
528,departamento de ingeniería industrial,13
529,departamento de ingeniería industrial,2
531,departamento de ingeniería industrial,63
533,departamento de ingeniería industrial,20
534,departamento de ingeniería industrial,27
536,departamento de ingeniería industrial,160
537,departamento de ingeniería industrial,27
538,departamento de ingeniería industrial,11
539,departamento de ingeniería industrial,1
540,departamento de ingeniería industrial,110
541,departamento de ingeniería industrial,29
542,departamento de ingeniería industrial,29
544,departamento de química,15
545,departamento de biología,37
547,departamento de biología,2
549,departamento de biología,12
550,departamento de biología,19
551,departamento de matemáticas y estadística,24
552,departamento de español y literatura,1
553,departamento de biología,2
556,departamento de biología,2
557,departamento de idiomas extranjeros,89
558,departamento de biología,43
559,departamento de ing agronómica y desarrollo rural,2
560,departamento de biología,36
561,departamento de biología,2
563,departamento de biología,28
564,departamento de biología,7
565,departamento de bacteriología,151
568,departamento de salud pública,91
572,departamento de matemáticas y estadística,6
573,departamento de matemáticas y estadística,50
574,departamento de matemáticas y estadística,65
575,departamento de matemáticas y estadística,1
576,departamento de matemáticas y estadística,4
579,departamento de matemáticas y estadística,68
582,departamento de idiomas extranjeros,56
583,departamento de matemáticas y estadística,67
584,departamento de matemáticas y estadística,62
585,departamento de física y electrónica,39
586,departamento de física y electrónica,38
588,departamento de idiomas extranjeros,13
593,departamento de idiomas extranjeros,4
594,departamento de matemáticas y estadística,111
595,departamento de ingeniería industrial,14
596,departamento de salud pública,804
597,departamento de ingeniería ambiental,24
598,departamento de idiomas extranjeros,4
599,departamento de química,11
600,departamento de biología,25
601,departamento de ingeniería ambiental,51
602,departamento de ingeniería ambiental,61
603,departamento de ingeniería mecánica,29
604,departamento de ingeniería ambiental,106
606,departamento de ingeniería ambiental,33
607,departamento de ingeniería ambiental,20
608,departamento de ingeniería ambiental,11
612,departamento de ingeniería ambiental,60
613,departamento de ingeniería ambiental,3
614,departamento de ingeniería ambiental,18
615,departamento de ingeniería ambiental,48
617,departamento de enfermería,100
618,departamento de enfermería,4
620,departamento de química,10
622,departamento de enfermería,32
623,departamento de enfermería,30
624,departamento de enfermería,36
626,departamento de enfermería,32
627,departamento de enfermería,68
632,departamento de enfermería,10
634,departamento de química,63
635,departamento de regencía y farmacia,2
636,departamento de regencía y farmacia,9
637,departamento de informática educativa,167
638,departamento de bacteriología,27
640,departamento de regencía y farmacia,1
641,departamento de regencía y farmacia,11
642,departamento de regencía y farmacia,13
648,departamento de regencía y farmacia,56
649,departamento de salud pública,123
650,departamento de biología,75
651,departamento de bacteriología,4
653,departamento de bacteriología,23
654,departamento de bacteriología,17
655,departamento de bacteriología,9
656,departamento de bacteriología,53
657,departamento de idiomas extranjeros,22
658,departamento de informática educativa,33
659,departamento de bacteriología,13
661,departamento de bacteriología,8
664,departamento de bacteriología,52
665,departamento de bacteriología,11
666,departamento de biología,23
672,departamento de bacteriología,9
674,departamento de bacteriología,1
675,departamento de bacteriología,6
677,departamento de bacteriología,4
678,departamento de bacteriología,11
679,departamento de bacteriología,2
680,departamento de bacteriología,12
681,departamento de bacteriología,11
683,departamento de bacteriología,7
684,departamento de bacteriología,32
690,departamento de bacteriología,17
691,departamento de bacteriología,24
692,departamento de bacteriología,34
693,departamento de bacteriología,17
695,departamento de bacteriología,2
699,departamento de bacteriología,2
701,departamento de bacteriología,9
706,departamento de ciencias jurídicas,34
707,departamento de ciencias jurídicas,29
710,departamento de ciencias jurídicas,22
711,departamento de ciencias jurídicas,2
712,departamento de ciencias jurídicas,8
717,departamento de ciencias jurídicas,1
727,departamento de biología,4
730,departamento de ciencias administrativas,29
731,departamento de psicopedagogía,3
732,departamento de informática educativa,74
735,departamento de ing agronómica y desarrollo rural,17
739,departamento de ingeniería de alimentos,61
741,departamento de biología,13
752,departamento de bacteriología,1
753,"departamento de cultura física, recreacion y deporte",11
760,departamento de informática educativa,52
761,departamento de enfermería,2
766,departamento de ciencias administrativas,13
767,departamento de ciencias administrativas,51
770,departamento de ingeniería ambiental,69
777,departamento de ciencias jurídicas,2
778,departamento de psicopedagogía,166
3796,departamento de fisica,59
11725,departamento de ingeniería industrial,99
11732,departamento de salud pública,60
11734,departamento de salud pública,99
11735,departamento de salud pública,70
11736,departamento de salud pública,27
11737,departamento de salud pública,20
11738,departamento de salud pública,20
11739,departamento de salud pública,83
11740,departamento de salud pública,16
11741,departamento de salud pública,99
11742,departamento de salud pública,33
11743,departamento de salud pública,49
11746,departamento de informática educativa,9
11755,departamento de informática educativa,3
11762,departamento de idiomas extranjeros,2
11764,departamento de idiomas extranjeros,20
11766,departamento de idiomas extranjeros,2
11767,departamento de ciencias sociales,1
11770,departamento de geografía y medio ambiente,58
11771,departamento de ciencias sociales,2
11772,departamento de ciencias sociales,17
11773,departamento de ciencias sociales,5
11774,departamento de ciencias sociales,5
11777,departamento de ciencias sociales,7
11778,departamento de ciencias sociales,33
11779,departamento de ciencias sociales,20
11780,"departamento de cultura fisica, recreacion y deporte",16
11784,departamento de ciencias jurídicas,72
11785,departamento de salud pública,16
11786,departamento de salud pública,64
11789,departamento de salud pública,45
11790,departamento de administración en salud,49
11804,departamento de ciencias administrativas,29
14394,departamento de salud pública,68
14396,departamento de salud pública,100
14403,departamento de licenciatura en informatica,48
14409,departamento de psicopedagogía,9
14414,departamento de informática educativa,167
14417,departamento de enfermería,3
14427,departamento de administración en salud,54
14446,departamento de informática educativa,278
14453,departamento de salud pública,29
14454,departamento de salud pública,131
14456,departamento de salud pública,31
14458,departamento de salud pública,51
14461,departamento de informática educativa,52
14462,departamento de español y literatura,7
14463,departamento de psicopedagogía,4
14464,departamento de idiomas extranjeros,4
14465,departamento de idiomas extranjeros,1
14467,departamento de español y literatura,3
14471,departamento de idiomas extranjeros,27
14474,departamento de idiomas extranjeros,1
14477,departamento de biología,30
14479,departamento de ingeniería de alimentos,39
14480,departamento de ingeniería de alimentos,35
14485,departamento de ingeniería de alimentos,6
14487,departamento de ingeniería de alimentos,27
14489,departamento de ingeniería de alimentos,19
14491,departamento de ingeniería de alimentos,14
14492,departamento de ingeniería de alimentos,55
14494,departamento de idiomas extranjeros,20
14495,departamento de ing de sistemas y telecomunicaciones,31
14497,departamento de física y electrónica,1
14498,departamento de ingeniería mecánica,35
14499,departamento de ingeniería mecánica,49
14501,departamento de ingeniería mecánica,47
14502,departamento de ingeniería mecánica,36
14504,departamento de informática educativa,71
14506,departamento de idiomas extranjeros,19
14510,departamento de ingeniería mecánica,14
14511,departamento de español y literatura,5
14512,departamento de biología,5
15188,departamento de informática educativa,88
15190,departamento de informática educativa,1
15191,departamento de informática educativa,7
15192,departamento de informática educativa,67
15193,departamento de informática educativa,27
15195,departamento de informática educativa,65
15197,departamento de informática educativa,33
15198,departamento de idiomas extranjeros,2
15202,departamento de idiomas extranjeros,1
15203,departamento de psicopedagogía,146
15206,departamento de psicopedagogía,2
15209,departamento de ingeniería de alimentos,1
15210,departamento de ingeniería de alimentos,91
15214,departamento de ing de sistemas y telecomunicaciones,17
15215,departamento de ingeniería mecánica,3
15216,departamento de ingeniería mecánica,50
15218,departamento de ingeniería mecánica,18
15219,departamento de ingeniería mecánica,7
15222,departamento de ingeniería mecánica,33
15223,departamento de ingeniería mecánica,19
15229,departamento de ingeniería mecánica,53
15611,departamento de ingeniería de alimentos,52
15620,departamento de idiomas extranjeros,28
15621,departamento de ciencias naturales,47
15624,departamento de ingeniería de alimentos,32
