COD_DANE_DEPARTAMENTO;Departamento;Cod_sec retaria;SECRETARIA;COD_DANE_MUNICIPIO;MUNICIPIO;EST_ID;Codigo Dane EE;Nombre EE;SEDE_ID;Codigo Dane Sede;Nombre Sede;Dirección Sede;Zona
23;Córdoba;3781;CORDOBA;23807;Tierralta;20889;323807001802;IE LIC FE Y ALEGRIA SANTIAGO CANABAL;75107;323807001802;IE LIC FE Y ALEGRIA SANTIAGO CANABAL;KR 11 CL 1;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;14553;123807000017;INSTITUCION EDUCATIVA BENICIO AGUDELO;74716;123807000017;IE BENICIO AGUDELO;KRA 8 NO. 17 - 25;URBANA
23;Córdoba;3781;CORDOBA;23678;San Carlos;14215;123678000013;INST.EDUC.NTRA SRA DEL PERPETUO SOCORRO;74137;123678000013;INST.EDUC.NTRA SRA DEL PERPETUO SOCORRO;BRR. CASTILLERAL;URBANA
23;Córdoba;3781;CORDOBA;23500;Moñitos;14620;123500000389;INSTITUCION EDUCATIVA SAN JOSE DE MOÑITOS;63060;123500000389;INSTITUCION EDUCATIVA SAN JOSE;CRA. 8  NO 27-34;URBANA
23;Córdoba;3781;CORDOBA;23189;Cienaga De Oro;19842;223189000323;COL SAN FCO DE ASIS DE FE Y ALEGRIA;63453;223189000323;COL SAN FCO DE ASIS DE FE Y ALEGRIA;CORREG BERASTEGUI;RURAL
23;Córdoba;3781;CORDOBA;23189;Cienaga De Oro;19849;223189001117;IE JOSE MARIA BERASTEGUI;61589;223189001117;IE JOSE MARIA BERASTEGUI;CORREG BERASTEGUI;RURAL
23;Córdoba;3781;CORDOBA;23672;San Antero;14233;223672000181;INST. EDUC. NUESTRA SE¿ORA DEL ROSARIO;73980;223672000181;COLEGIO NTRA. SRA DEL ROSARIO.;COREG. EL PORVENIR;RURAL
23;Córdoba;3781;CORDOBA;23672;San Antero;13914;123672000011;INST. EDUC. JULIO C. MIRANDA;73992;123672000011;COL. DPTAL DE BTO MIXTO JULIO C. MIRANDA;BARRIO LOS PLACERES;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;104763;223807001000;ESC NVA EL CARMEN DE SAIZA;142249;223807001000;CENT EDUC AGROECOL EL CARMEN;CORREG SAIZA;RURAL
23;Córdoba;3781;CORDOBA;23079;Buenavista;20839;123079000277;IE MARISCAL SUCRE;75535;123079000277;IE MARISCAL SUCRE;CLL12NO10-90;URBANA
23;Córdoba;3781;CORDOBA;23855;Valencia;20906;323855000419;INS EDU MUNICIPAL CATALINO GULFO;75433;323855000419;COL. MPAL CATALINO GULFO;BARRIO NAZARETH;URBANA
23;Córdoba;3781;CORDOBA;23675;San Bernardo Del Viento;14213;323675000208;INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS;61685;323675000208;SAN FRANCISCO DE ASIS;BARRIO ALFONSO LOPEZ;URBANA
23;Córdoba;3781;CORDOBA;23855;Valencia;20894;123855022006;INSTITUCI¿N EDUCATIVA NUESTRA SRA DEL ROSARIO;75241;123855022006;IE NTRA SRA DEL ROSARIO;BARRIO EL ROSARIO;URBANA
23;Córdoba;3781;CORDOBA;23300;Cotorra;20697;223417001629;INST EDUC EL CARMEN;72367;223417001629;IE EL CARMEN;CLL PRINCIPAL;URBANA
23;Córdoba;3781;CORDOBA;23068;Ayapel;26784;123068000933;IE CARLOS ADOLFO URUETA;75324;123068001751;SIMÓN BOLIVAR;IND BARRIO SAN JERÒNIMO;URBANA
23;Córdoba;3781;CORDOBA;23162;Cerete;21022;223162000534;I.E.RETIRO DE LOS INDIOS;63088;223162000534;I.E.RETIRO DE LOS INDIOS;CORREGIMIENTO RETIRO DE LOS INDIOS;RURAL
23;Córdoba;3781;CORDOBA;23466;Montelíbano;14599;123466001311;INST. EDC.MARIA GORETTI;76629;123466001311;INST. EDC.MARÍA GORETTI;B/LA LUCHA CRA 7A;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;14557;123807000980;IE MADRE LAURA;74723;123807003806;IE SAN CARLOS;B. SAN CARLOS;URBANA
23;Córdoba;3781;CORDOBA;23807;Tierralta;14573;223807000330;IE LOS MORALES;74758;223807000330;IE LOS MORALES;CRRG. LOS MORALES;RURAL
23;Córdoba;3781;CORDOBA;23807;Tierralta;14556;123807000734;IE  19 DE MARZO;74721;123807000734;INST  EDUC. 19 DE MARZO;BARRIO 19 DE MARZO;URBANA
23;Córdoba;3781;CORDOBA;23090;Canalete;20938;123090000301;IE SAN JOSE DE CANALETE;75753;123090000301;IE SAN JOSE DE CANALETE;MUNICIPIO DE CANALETE;URBANA
23;Córdoba;3781;CORDOBA;23466;Montelíbano;14614;223466002401;CENTRO EDUC. JUAN XXIII;73943;223466002827;ESCUELA  NUEVA SAGRADO CORAZÓN DE J.;CORREGIMIENTO BOCAS DE URE;RURAL
23;Córdoba;3781;CORDOBA;23570;Pueblo Nuevo;14788;123570000416;INST. EDUC. JOSE CELESTINO MUTIS;75801;123570000416;INST. EDUC. JOSE CELESTINO MUTIS;CARIMAGUA;URBANA
23;Córdoba;3781;CORDOBA;23580;Puerto Libertador;20811;223580006468;IE STA TERESITA;76510;223580006468;IE STA TERESITA;CORREG JUAN JOSE;RURAL
23;Córdoba;3781;CORDOBA;23555;Planeta Rica;14768;123555000701;INST.EDUC. LA ESPERANZA;73910;123555000701;INST.EDUC. LA ESPERANZA;CLL.20 TV.11 ESQ.;URBANA
23;Córdoba;3781;CORDOBA;23079;Buenavista;20838;123079000111;IE SAGARDO CORAZON DE JESUS;75528;123079000111;IE SGDO CORAZON DE JESÙS;CLL12C.CRA15;URBANA
23;Córdoba;3781;CORDOBA;23189;Cienaga De Oro;19836;123189000337;IE SAN ISIDRO;63431;123189000337;IE SAN ISIDRO;CLL 7 NO. 1707 B SAN ISIDRO;URBANA
23;Córdoba;3781;CORDOBA;23670;San Andrés de Sotavento;13898;223670000256;IE STA LUCIA LOS CARRETOS;76717;223670000256;IE STA LUCIA LOS CARRETOS;CORREGIMIENTO LOS CARRETOS - PLAZA PRINCIPAL;RURAL
23;Córdoba;3781;CORDOBA;23807;Tierralta;14558;123807003717;IE NVO ORIENTE;74725;123807004521;CENT EDUC CAMPAMENTO;REAS. CAMPAMENTO;RURAL
23;Córdoba;3781;CORDOBA;23675;San Bernardo Del Viento;14208;223675000424;INSTITUCI¿N EDUCATIVA JOSE MANUEL DE ALTAMIRA;61665;223675000424;JOSE MANUEL DE ALTAMIRA;CORREGIMIENTO JOSE MANUEL;RURAL
