,id,department,timecreated,rol,userid
254998,11785,Departamento de Salud Pblica,1716239397,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
255232,16587,DEPARTAMENTO DE SALUD PUBLICA D P,1716501224,editingteacher,f2cbe1cbc2cafa3ef3edc4fb1d2b4a95c0b81ee034cc732e7f4f0c0a584379d6
255525,19336,,1716839816,editingteacher,f267d701609b686ab96cacf03defb8ca5735613ba32dc6d3832176c7a89b26b9
256008,11785,Departamento de Salud Pblica,1717181698,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
256582,16587,DEPARTAMENTO DE SALUD PUBLICA D P,1717801077,editingteacher,f2cbe1cbc2cafa3ef3edc4fb1d2b4a95c0b81ee034cc732e7f4f0c0a584379d6
256583,11785,Departamento de Salud Pblica,1717802843,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
256586,11785,Departamento de Salud Pblica,1717805642,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
256708,11785,Departamento de Salud Pblica,1718027625,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
257128,11785,Departamento de Salud Pblica,1718708513,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
257567,11785,Departamento de Salud Pblica,1719403932,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
257663,11785,Departamento de Salud Pblica,1719517403,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
260264,16578,DEPARTAMENTO DE ENFERMERIA D P,1712840617,editingteacher,a3a1a0ea3ba325e79c4077baa2e39de1fcd21a376e022943914d63cb296a6348
274054,11779,Departamento De Ciencias Sociales,1710250896,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
274055,11779,Departamento De Ciencias Sociales,1710251664,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
274760,17910,,1711998627,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
274803,17910,,1712028123,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
274823,17910,,1712063112,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
274849,17910,,1712079577,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
274960,11779,Departamento De Ciencias Sociales,1712173523,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
275008,17910,,1712231852,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275110,17910,,1712347301,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275278,17910,,1712590616,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275353,17910,,1712628478,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
275367,17910,,1712660511,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
